Index;Arithmancy;Astronomy;Herbology;Defense Against the Dark Arts;Divination;Muggle Studies;Ancient Runes;History of Magic;Transfiguration;Potions;Care of Magical Creatures;Charms;Flying;;;;;;;;;;;
0;0,534947984;-1,026164212;0,869120913;1,026164212;0,367009415;1,020931711;0,33967812;0,505583193;0,225755624;-0,699913634;0,802518337;1,198566377;-0,511677109;-0,04442989;-0,031995149;0,04442989;-0,005859971;-0,050263037;0,082527776;-0,068600203;-0,007316565;-0,296656908;-0,038895821;-0,104624618
1;1,065350232;-1,149401696;-1,374609437;1,149401696;-2,147744655;-0,545464666;-1,204590055;0,253317814;0,661470008;0,4150871;0,160440588;-1,008152595;-1,397510081;;;;;;;;;;;
2;-1,542455831;-0,792246183;1,251771279;0,792246183;0,712076308;1,831295151;0,996867619;0,12950887;1,324350948;0,892180174;-0,463880639;1,818967807;0,07481882;;;;;;;;;;;
3;-1,005464735;1,250660717;-1,472246649;-1,250660717;0,197639488;-0,647901534;0,259971959;-1,748128656;-2,489950761;-1,656962965;0,051709521;-1,538772559;1,816806904;;;;;;;;;;;
5;-1,691783082;-1,267746568;-1,049339735;1,267746568;-2,3862253;-0,44987139;-0,937954196;0,539078499;0,522737211;1,866711188;1,146002364;-0,52575674;-0,591500321;;;;;;;;;;;
8;-1,747548693;0,864001925;-1,226831733;-0,864001925;0,642722243;-0,832621822;0,671157022;-2,059906007;-2,379316883;-1,571651934;1,245911548;-1,018549901;2,261667801;;;;;;;;;;;
9;-0,187908519;0,923146158;1,289539339;-0,923146158;0,034596598;-0,361388667;-1,451006124;0,448920009;0,262748088;-1,254950312;-0,478538954;-0,142205853;-0,237412742;;;;;;;;;;;
10;-0,828644019;1,072435054;0,822580122;-1,072435054;0,521778487;-0,635101749;-0,106674829;0,610763037;0,146080878;1,074211006;-0,444571612;0,072157784;0,424710564;;;;;;;;;;;
11;-0,173892243;0,75293261;0,791231979;-0,75293261;-0,048628281;-0,609863753;-0,742372589;0,409151272;0,3843734;0,134021018;-0,879729192;-0,180691591;-0,025062532;;;;;;;;;;;
12;-1,366054405;1,272460179;0,098817594;-1,272460179;0,943499873;-0,218257098;-0,569517582;0,745661164;0,162979658;0,692850493;-0,899791455;-0,077149854;-0,159124592;;;;;;;;;;;
13;-0,686983791;-1,134291485;-1,627702295;1,134291485;-2,28596609;-0,200174951;-0,980599504;-0,014334234;1,199094443;1,608005662;1,890653415;-0,887621915;-1,059489482;;;;;;;;;;;
14;-0,279253909;-0,468573143;0,297447314;0,468573143;0,824746246;1,547591611;1,025042123;0,561481936;0,765592331;1,11107888;-1,07824693;1,213863027;-0,440552581;;;;;;;;;;;
15;-1,666565764;-0,948896399;0,5472597;0,948896399;0,42224932;2,13093081;1,118233068;0,151486778;1,046074691;1,180530103;0,649427644;1,586844762;-0,062518039;;;;;;;;;;;
16;-0,452001519;0,814569781;-1,284745869;-0,814569781;0,294735179;-0,436041874;0,940850842;-1,602721862;-1,42473642;-0,30108248;-1,102219896;-1,018302943;1,546943046;;;;;;;;;;;
17;0,559626213;1,161279733;-1,151153398;-1,161279733;0,278187542;-0,506157427;1,219873703;-1,837246339;-2,14450008;-0,934355285;0,244719042;-1,319868067;1,936848733;;;;;;;;;;;
18;-2,029072191;-0,379393703;1,088363644;0,379393703;1,141828165;1,791182956;1,042405619;0,749431413;1,391824239;1,853029997;0,334141599;1,884257109;-0,121669085;;;;;;;;;;;
19;0,446597524;0,790514047;1,109380724;-0,790514047;0,601596499;-0,735913434;-0,871149816;0,288925673;0,504315213;-0,807548955;0,13835935;0,037178406;-0,197501136;;;;;;;;;;;
22;-0,573835305;-0,597526694;0,911788729;0,597526694;0,879742803;1,997494571;1,224096579;0,428296761;1,130130634;1,082260389;0,440935079;1,653842289;-0,254093746;;;;;;;;;;;
23;-0,267513781;1,203466722;-0,202629995;-1,203466722;1,510499775;-1,004127111;-0,322071644;-0,549196646;0,994473838;0,124046165;1,86379127;-0,285077767;0,003591955;;;;;;;;;;;
24;1,801983416;-1,070985906;1,297387964;1,070985906;0,62179435;1,325639248;1,56472617;0,922749045;0,126507422;0,42788224;0,308938374;1,648574214;-0,301987673;;;;;;;;;;;
25;-0,176587681;0,886597255;0,943045476;-0,886597255;0,017075571;-0,339634987;-0,833722921;0,485608008;0,164165055;-0,274728865;1,434138094;-0,15203982;-0,034272902;;;;;;;;;;;
26;1,005870906;-0,893921084;-1,502511673;0,893921084;-2,243623608;-0,204450999;-0,821460014;0,417335198;0,229286094;0,89556809;0,089593166;-1,106394392;-1,172265352;;;;;;;;;;;
27;-0,986057583;1,087143166;0,570168433;-1,087143166;0,469215406;-0,631004387;-0,385652067;-0,246588292;0,407729755;0,228719225;0,688020064;-0,206507319;0,543319669;;;;;;;;;;;
28;-0,542208835;0,365658909;-1,200373421;-0,365658909;0,560470755;-0,663903821;1,011033959;-1,780828341;-1,181979799;-0,510738712;-1,52915223;-0,689906942;1,534560215;;;;;;;;;;;
29;-0,0372036;0,790926946;0,41032532;-0,790926946;0,62787804;-0,276903749;-1,583107458;1,25637282;0,488611764;-0,614589482;0,290099955;-0,04613661;-1,260480235;;;;;;;;;;;
30;-0,028099011;1,06311633;0,435749519;-1,06311633;0,892396878;-0,939825748;-1,022011101;0,608015598;0,895703074;0,157539844;2,073661112;-0,147228107;-0,610432749;;;;;;;;;;;
31;0,51865556;0,89846647;-0,770249829;-0,89846647;0,618144136;-0,953537579;1,145516998;-2,240659961;-1,655208524;-1,363468233;0,434978051;-1,025406706;2,053820439;;;;;;;;;;;
32;0,407663424;-0,668205371;0,62844439;0,668205371;0,810632085;2,289500616;1,446957078;0,617249497;1,028787838;1,157206395;-1,165576945;1,556395996;-0,595286806;;;;;;;;;;;
